NAME,GEO_ID,pop_est,pop_est_me,state,year
Wyoming,0400000US56,575251,-555555555,56,2014
Puerto Rico,0400000US72,3638965,-555555555,72,2014
Mississippi,0400000US28,2988081,-555555555,28,2015
Missouri,0400000US29,6045448,-555555555,29,2015
Montana,0400000US30,1014699,-555555555,30,2015
Nebraska,0400000US31,1869365,-555555555,31,2015
Nevada,0400000US32,2798636,-555555555,32,2015
New Hampshire,0400000US33,1324201,-555555555,33,2015
New Jersey,0400000US34,8904413,-555555555,34,2015
New Mexico,0400000US35,2084117,-555555555,35,2015
New York,0400000US36,19673174,-555555555,36,2015
North Carolina,0400000US37,9845333,-555555555,37,2015
North Dakota,0400000US38,721640,-555555555,38,2015
Ohio,0400000US39,11575977,-555555555,39,2015
Oklahoma,0400000US40,3849733,-555555555,40,2015
Oregon,0400000US41,3939233,-555555555,41,2015
Pennsylvania,0400000US42,12779559,-555555555,42,2015
Rhode Island,0400000US44,1053661,-555555555,44,2015
South Carolina,0400000US45,4777576,-555555555,45,2015
South Dakota,0400000US46,843190,-555555555,46,2015
Tennessee,0400000US47,6499615,-555555555,47,2015
Texas,0400000US48,26538614,-555555555,48,2015
Vermont,0400000US50,626604,-555555555,50,2015
Utah,0400000US49,2903379,-555555555,49,2015
Virginia,0400000US51,8256630,-555555555,51,2015
Washington,0400000US53,6985464,-555555555,53,2015
West Virginia,0400000US54,1851420,-555555555,54,2015
Wisconsin,0400000US55,5742117,-555555555,55,2015
Wyoming,0400000US56,579679,-555555555,56,2015
Puerto Rico,0400000US72,3583073,-555555555,72,2015
Alabama,0400000US01,4830620,-555555555,01,2015
Alaska,0400000US02,733375,-555555555,02,2015
Arizona,0400000US04,6641928,-555555555,04,2015
Arkansas,0400000US05,2958208,-555555555,05,2015
California,0400000US06,38421464,-555555555,06,2015
Colorado,0400000US08,5278906,-555555555,08,2015
Delaware,0400000US10,926454,-555555555,10,2015
District of Columbia,0400000US11,647484,-555555555,11,2015
Connecticut,0400000US09,3593222,-555555555,09,2015
Florida,0400000US12,19645772,-555555555,12,2015
Georgia,0400000US13,10006693,-555555555,13,2015
Idaho,0400000US16,1616547,-555555555,16,2015
Hawaii,0400000US15,1406299,-555555555,15,2015
Illinois,0400000US17,12873761,-555555555,17,2015
Indiana,0400000US18,6568645,-555555555,18,2015
Iowa,0400000US19,3093526,-555555555,19,2015
Kansas,0400000US20,2892987,-555555555,20,2015
Kentucky,0400000US21,4397353,-555555555,21,2015
Louisiana,0400000US22,4625253,-555555555,22,2015
Maine,0400000US23,1329100,-555555555,23,2015
Maryland,0400000US24,5930538,-555555555,24,2015
Massachusetts,0400000US25,6705586,-555555555,25,2015
Michigan,0400000US26,9900571,-555555555,26,2015
Minnesota,0400000US27,5419171,-555555555,27,2015
Mississippi,0400000US28,2989192,-555555555,28,2016
Missouri,0400000US29,6059651,-555555555,29,2016
Montana,0400000US30,1023391,-555555555,30,2016
Nebraska,0400000US31,1881259,-555555555,31,2016
