,NAME,GEO_ID,pop_est_ov16,pop_est_ov16_me,employed,employed_me,unemployed,unemployed_me,armed_forces,armed_forces_me,non_labor_force,non_labor_force_me,state,year
18,Kentucky,0400000US21,3412180,1516,1865652,7025,182507,3166,17710,749,1346311,6032,21,2011
19,Louisiana,0400000US22,3503250,1584,1974967,6746,172040,3417,16206,907,1340037,6954,22,2011
20,Maine,0400000US23,1086610,685,654300,2970,50266,1484,3052,433,378992,2723,23,2011
21,Maryland,0400000US24,4547457,1422,2909466,6813,227600,3975,28952,1569,1381439,6615,24,2011
22,Massachusetts,0400000US25,5267692,1490,3280503,7753,287476,3948,5940,535,1693773,6413,25,2011
23,Michigan,0400000US26,7840553,2080,4306814,9132,601515,5245,5348,627,2926876,7267,26,2011
24,Minnesota,0400000US27,4147665,1209,2734914,5054,201649,3165,2892,337,1208210,4238,27,2011
25,Mississippi,0400000US28,2287478,1383,1210301,5384,134828,2961,13829,646,928520,5045,28,2011
26,Missouri,0400000US29,4700400,1529,2790203,6616,244812,3882,21391,696,1643994,5709,29,2011
27,Montana,0400000US30,786732,597,477082,2800,32646,1375,3468,324,273536,2609,30,2011
28,Nebraska,0400000US31,1409203,826,941270,3463,54055,1674,5684,436,408194,2897,31,2011
29,Nevada,0400000US32,2086005,1167,1246387,4858,145293,2585,10273,796,684052,4707,32,2011
30,New Hampshire,0400000US33,1063324,731,695066,3177,46668,1592,1608,258,319982,2607,33,2011
31,New Jersey,0400000US34,6935191,1841,4221383,8087,402751,5313,9431,732,2301626,7226,34,2011
32,New Mexico,0400000US35,1581130,1080,886857,3793,78901,2273,8754,614,606618,3868,35,2011
33,New York,0400000US36,15494360,2687,9051668,14550,803436,7251,26568,993,5612688,14600,36,2011
34,North Carolina,0400000US37,7411079,2409,4241650,10981,455742,5315,87592,1858,2626095,9931,37,2011
35,North Dakota,0400000US38,536039,500,358106,1643,12772,739,5948,465,159213,1366,38,2011
36,Ohio,0400000US39,9110226,2449,5326405,10082,545888,4780,11667,770,3226266,8617,39,2011
37,Oklahoma,0400000US40,2897182,969,1685029,4778,116866,2178,21884,952,1073403,4654,40,2011
38,Oregon,0400000US41,3039160,1187,1753398,5689,191276,3084,3085,397,1091401,5523,41,2011
39,Pennsylvania,0400000US42,10209810,2157,5938507,10031,508654,5119,9366,570,3753283,9807,42,2011
40,Rhode Island,0400000US44,855960,706,513558,2987,50461,1603,3741,425,288200,2835,44,2011
41,South Carolina,0400000US45,3624311,1479,1999063,6403,227214,3428,36657,1159,1361377,6566,45,2011
42,South Dakota,0400000US46,630184,569,413552,2153,20958,1034,3529,456,192145,2014,46,2011
43,Tennessee,0400000US47,4978954,1866,2818005,8118,287097,4471,17136,937,1856716,7897,47,2011
44,Texas,0400000US48,18747892,3575,11288597,15411,890438,7380,106249,2107,6462608,14013,48,2011
45,Vermont,0400000US50,511749,460,328365,1962,22141,815,580,135,160663,1778,50,2011
46,Utah,0400000US49,1948759,1076,1251302,3805,87453,2079,6865,665,603139,3738,49,2011
47,Virginia,0400000US51,6295555,1741,3843773,8230,265331,4087,122472,2333,2063979,7687,51,2011
48,Washington,0400000US53,5269197,1733,3135962,7384,286062,4157,52571,1655,1794602,6227,53,2011
49,West Virginia,0400000US54,1504751,856,762595,3826,62164,2036,1710,275,678282,3922,54,2011
50,Wisconsin,0400000US55,4487568,1437,2859925,6870,219865,3408,4326,372,1403452,5537,55,2011
51,Wyoming,0400000US56,436090,532,287634,1769,14173,886,3115,412,131168,1819,56,2011
52,Puerto Rico,0400000US72,2934611,1135,1135064,5445,238059,3200,1977,294,1559511,5221,72,2011
1,Alabama,0400000US01,3779457,1500,2017887,6610,230778,3298,16343,955,1514449,5644,01,2012
2,Alaska,0400000US02,545497,570,341115,2245,31369,1241,17406,693,155607,1900,02,2012
3,Arizona,0400000US04,4967615,1895,2733537,7585,296132,4613,19750,985,1918196,8453,04,2012
