,NAME,GEO_ID,est_households,est_households_me,under_10k,under_10k_me,bw_10_15k,bw_10_15k_me,bw_15_25k,bw_15_25k_me,bw_25_35k,bw_25_35k_me,bw_35_50k,bw_35_50k_me,bw_50_75k,bw_50_75k_me,bw_75_100k,bw_75_100k_me,bw_100_150k,bw_100_150k_me,bw_150_200k,bw_150_200k_me,over_200k,over_200k_me,median_hh_income,median_hh_income_me,mean_hh_income,mean_hh_income_me,state,year
30,New Hampshire,0400000US33,513804,1978,23733,1012,20466,850,42888,1313,45618,1394,68889,1670,100126,1952,75988,1509,83705,1812,29380,936,23011,884,63277,539,79105,609,33,2010
31,New Jersey,0400000US34,3176069,6296,167356,2484,126043,2303,251596,3468,250896,2965,354166,4286,537687,4023,428486,3967,548970,4760,248860,3493,262009,2902,69811,309,93475,360,34,2010
32,New Mexico,0400000US35,756112,2759,70119,1791,49824,1602,96462,2331,89929,2218,114925,2233,135040,2091,82370,1843,75645,1719,23845,975,17953,726,43820,386,59223,389,35,2010
33,New York,0400000US36,7205740,12418,580138,4906,384225,3733,718995,5062,679265,5552,906907,6607,1250942,7209,878506,6024,973368,7264,394523,4790,438871,4520,55603,178,80374,276,36,2010
34,North Carolina,0400000US37,3626179,9539,307800,3777,229967,3160,440441,4573,431763,4206,552640,4586,676157,5750,409499,4769,359150,4977,112540,2322,106222,2053,45570,206,61781,264,37,2010
35,North Dakota,0400000US38,276642,1348,21801,747,17624,751,32689,1160,32772,1069,41563,1070,55089,1164,34795,994,27513,884,6470,340,6326,357,46781,452,60581,593,38,2010
36,Ohio,0400000US39,4552270,11259,372468,3712,268211,3454,534177,5156,520543,4498,691867,5334,874828,5481,546220,4972,481959,4999,144656,2449,117341,1808,47358,162,62205,204,39,2010
37,Oklahoma,0400000US40,1421705,4773,123659,2237,95310,1850,187770,2304,176659,2443,221713,2808,266836,3048,154177,2360,127583,2207,35584,1080,32414,999,42979,265,58099,302,40,2010
38,Oregon,0400000US41,1499267,3846,107189,2193,84558,1946,171205,2469,170385,3069,226283,3316,292712,3750,183783,2698,167928,2376,50480,1350,44744,1205,49260,306,64554,323,41,2010
39,Pennsylvania,0400000US42,4940581,8826,358330,3725,289547,3210,559425,5208,539934,4419,705090,5439,938866,5871,610403,4692,577062,5585,188172,2589,173752,2294,50398,158,67282,211,42,2010
40,Rhode Island,0400000US44,410305,1765,31507,1330,24211,956,41497,1302,38168,1119,52111,1489,73373,1715,56712,1500,57170,1635,19356,937,16200,855,54902,645,71934,790,44,2010
41,South Carolina,0400000US45,1741994,6110,161884,2800,113617,2205,222016,3330,208359,2798,263884,3292,320374,3788,197940,2873,165156,2932,47663,1332,41101,1321,43939,271,58941,330,45,2010
42,South Dakota,0400000US46,315468,1738,23602,862,19244,857,37337,1134,39582,1063,49460,1270,65540,1472,38977,981,27674,922,6834,491,7218,479,46369,395,59729,774,46,2010
43,Tennessee,0400000US47,2443475,6737,227986,3521,165808,2895,310020,3151,297286,3460,377431,4572,452950,3970,261744,3277,216506,3010,66875,1601,66869,1624,43314,190,59212,283,47,2010
44,Texas,0400000US48,8539206,17705,659954,5889,483281,4259,975738,5685,951035,7255,1224666,6929,1545800,8018,999489,6985,1001528,7687,353324,4221,344391,3519,49646,145,68700,189,48,2010
45,Utah,0400000US49,859158,2763,41865,1250,34503,1342,76493,1658,86612,1907,134217,2111,190272,2718,123648,2087,113795,1819,31718,970,26035,999,56330,330,70375,440,49,2010
46,Vermont,0400000US50,256612,1197,15545,770,14659,600,28227,937,26759,970,38444,1075,53382,1153,34055,1044,29571,873,8833,568,7137,471,51841,447,65886,720,50,2010
47,Virginia,0400000US51,2974481,9637,173936,2896,129456,2463,256688,3714,263956,3599,392943,3923,544644,4549,391449,3975,443329,4333,190367,2632,187713,2838,61406,235,82584,315,51,2010
48,Washington,0400000US53,2577375,5947,158877,2684,112647,2304,238279,3328,252149,2996,361741,4015,501524,4385,355408,4313,366055,3632,124443,2184,106252,1950,57244,261,74331,298,53,2010
49,West Virginia,0400000US54,740874,2731,78133,1785,59911,1209,110599,1958,94468,1741,113742,2083,130300,2144,74866,1866,54942,1580,12679,649,11234,680,38380,329,51064,423,54,2010
50,Wisconsin,0400000US55,2274611,10182,136864,2572,121728,2411,249823,3272,250913,3010,341884,3284,468400,3604,312071,3091,263913,2945,70049,1379,58966,1327,51598,143,65273,220,55,2010
51,Wyoming,0400000US56,217688,1271,11850,824,10113,634,22327,1066,23902,1048,32677,1109,44279,1430,30595,1076,28190,1060,8145,542,5610,437,53802,688,68283,792,56,2010
52,Puerto Rico,0400000US72,1227039,3433,365814,3263,154268,2124,217075,2471,150384,2069,141638,2279,112088,1927,40946,1303,28945,1026,7723,529,8158,513,18791,158,29325,205,72,2010
1,Alabama,0400000US01,1831269,6588,180193,3046,130356,2452,241430,3119,211914,3286,266500,3288,322636,3180,197078,3075,180888,2865,55011,1365,45263,1057,42934,243,59015,273,01,2011
2,Alaska,0400000US02,252920,1108,9605,574,9211,618,18350,780,21058,924,30298,1014,48326,1192,38715,1139,47090,1281,17929,737,12338,653,69014,793,84767,1076,02,2011
3,Arizona,0400000US04,2344215,8563,167536,3049,120212,2694,252396,3841,261908,3968,353183,4150,445624,4449,289003,3552,281430,3930,90934,2099,81989,1903,50752,212,67885,321,04,2011
4,Arkansas,0400000US05,1121386,4189,107183,2130,87311,2014,157820,2662,142639,2530,174695,2668,197903,2613,111126,2129,92865,1987,27764,1003,22080,812,40149,265,54723,367,05,2011
5,California,0400000US06,12433172,22372,660724,5715,636825,4929,1165436,7853,1129943,8082,1542541,9473,2155425,9338,1568927,9554,1884614,10812,830245,7083,858492,6622,61632,169,85148,194,06,2011
6,Colorado,0400000US08,1941193,5005,122221,2676,88005,2277,180959,2676,186386,2788,263808,3326,366942,4001,255198,3723,277745,3424,105908,2250,94021,2132,57685,312,77149,422,08,2011
7,Delaware,0400000US10,332837,1738,18181,1050,13868,742,30184,1068,32259,1172,44939,1217,64404,1545,45838,1157,50289,1226,18299,778,14576,652,59317,623,76889,781,10,2011
8,District of Columbia,0400000US11,260136,1572,27356,1074,12333,704,20137,882,19779,1047,29536,1189,39196,1465,29376,935,35637,1126,19450,861,27336,878,61835,831,96183,1134,11,2011
9,Connecticut,0400000US09,1360115,3316,73015,1695,54549,1557,111327,2131,105984,2067,151940,2605,231321,2531,185459,2530,228711,2924,100144,2013,117665,2281,69243,409,96502,626,09,2011
10,Florida,0400000US12,7140096,26268,522672,5085,405372,5133,840479,6197,839473,6609,1094185,6490,1336510,9032,817308,7454,760919,7367,259488,3754,263690,3787,47827,164,67065,240,12,2011
11,Georgia,0400000US13,3490754,10839,291920,3995,199317,3057,385451,4543,379982,4337,496050,4719,646397,5747,410336,4952,404757,4902,143147,2656,133397,2576,49736,264,67610,310,13,2011
12,Idaho,0400000US16,575497,2256,37121,1402,33657,1108,67869,1806,73688,1963,91545,1940,119418,2016,68945,1522,55683,1374,14861,671,12710,691,46890,381,60274,488,16,2011
13,Hawaii,0400000US15,445513,2039,25306,1138,16090,904,32235,1249,35845,1410,54107,1632,82456,1902,66455,1489,78858,1929,29695,1131,24466,1014,67116,578,83981,812,15,2011
14,Illinois,0400000US17,4773002,11359,324506,3665,225927,3085,480204,3931,462115,4941,628998,5505,884623,5444,627813,4881,656199,5735,243765,3616,238852,3219,56576,208,76733,275,17,2011
15,Indiana,0400000US18,2472870,7194,176337,2944,138243,2366,282483,3428,292753,3346,381022,3787,491517,4395,311857,3223,265473,3397,73020,1835,60165,1441,48393,212,62491,257,18,2011
16,Iowa,0400000US19,1219137,3658,74631,1580,69138,1643,136518,2230,136812,1871,186904,2414,250547,2981,161980,2299,135778,1839,36837,1188,29992,1042,50451,246,63845,325,19,2011
17,Kansas,0400000US20,1104479,3939,70867,1630,58265,1505,122815,1875,123935,2035,169927,2637,215080,2523,139416,1975,128980,2028,40106,1243,35088,955,50594,272,66773,360,20,2011
18,Kentucky,0400000US21,1681085,5999,171893,2668,122141,1884,218819,2999,198340,2836,248615,3219,299287,3310,183726,2807,157828,2724,42508,1148,37928,1098,42248,227,57451,309,21,2011
19,Louisiana,0400000US22,1675097,4498,165466,2891,118274,2309,213863,2993,188998,3037,235200,2987,281695,3201,188064,2901,178929,2512,56639,1575,47969,1320,44086,263,61533,326,22,2011
